Players with salary NULL in Players OR Transfer sections: 384
Generated at: 2026-03-24T16:29:42.688Z

id | player | teamCode | team | source
7577 | Caleb Martin | DAL | Dallas Mavericks | players
7465 | Cooper Flagg | DAL | Dallas Mavericks | players
7470 | Daniel Gafford | DAL | Dallas Mavericks | players
7566 | Dereck Lively II | DAL | Dallas Mavericks | players
7490 | Jaden Hardy | DAL | Dallas Mavericks | players
7656 | Jeremiah Robinson-Earl | DAL | Dallas Mavericks | players
7418 | Max Christie | DAL | Dallas Mavericks | players
7546 | Miles Kelly | DAL | Dallas Mavericks | players
7419 | Moussa Cisse | DAL | Dallas Mavericks | players
7575 | Naji Marshall | DAL | Dallas Mavericks | players
7727 | P.J. Washington | DAL | Dallas Mavericks | players
7614 | Ryan Nembhard | DAL | Dallas Mavericks | players
7527 | Cameron Johnson | DEN | Denver Nuggets | players
7401 | Christian Braun | DEN | Denver Nuggets | players
7534 | Curtis Jones | DEN | Denver Nuggets | players
7502 | DaRon Holmes | DEN | Denver Nuggets | players
7711 | Hunter Tyson | DEN | Denver Nuggets | players
7629 | Jalen Pickett | DEN | Denver Nuggets | players
7713 | Jonas Valančiūnas | DEN | Denver Nuggets | players
7692 | Julian Strawther | DEN | Denver Nuggets | players
7532 | Nikola Jokić | DEN | Denver Nuggets | players
7732 | Peyton Watson | DEN | Denver Nuggets | players
7540 | Spencer Jones | DEN | Denver Nuggets | players
7618 | Zeke Nnaji | DEN | Denver Nuggets | players
7700 | Ausar Thompson | DET | Detroit Pistons | players
7549 | Bobi Klintman | DET | Detroit Pistons | players
7436 | Cade Cunningham | DET | Detroit Pistons | players
7560 | Chaz Lanier | DET | Detroit Pistons | players
7533 | Colby Jones | DET | Detroit Pistons | players
7523 | Daniss Jenkins | DET | Detroit Pistons | players
7538 | Isaac Jones | DET | Detroit Pistons | players
7691 | Isaiah Stewart | DET | Detroit Pistons | players
7512 | Jaden Ivey | DET | Detroit Pistons | players
7453 | Jalen Duren | DET | Detroit Pistons | players
7483 | Javonte Green | DET | Detroit Pistons | players
7667 | Marcus Sasser | DET | Detroit Pistons | players
7648 | Paul Reed | DET | Detroit Pistons | players
7501 | Ron Holland | DET | Detroit Pistons | players
7686 | Tolu Smith | DET | Detroit Pistons | players
7606 | Wendell Moore Jr. | DET | Detroit Pistons | players
7631 | Brandin Podziemski | GSW | Golden State Warriors | players,transfer
7623 | Gary Payton II | GSW | Golden State Warriors | players
7663 | Gui Santos | GSW | Golden State Warriors | players,transfer
7557 | Jonathan Kuminga | GSW | Golden State Warriors | players
7435 | LJ Cryer | GSW | Golden State Warriors | players
7564 | Malevy Leons | GSW | Golden State Warriors | players
7605 | Moses Moody | GSW | Golden State Warriors | players,transfer
7689 | Pat Spencer | GSW | Golden State Warriors | players
7636 | Quinten Post | GSW | Golden State Warriors | players,transfer
7517 | Trayce Jackson-Davis | GSW | Golden State Warriors | players
7653 | Will Richard | GSW | Golden State Warriors | players,transfer
7671 | Alperen Şengün | HOU | Houston Rockets | players
7699 | Amen Thompson | HOU | Houston Rockets | players
7434 | Isaiah Crawford | HOU | Houston Rockets | players
7684 | Jabari Smith Jr. | HOU | Houston Rockets | players
7694 | Jae'Sean Tate | HOU | Houston Rockets | players
7440 | JD Davison | HOU | Houston Rockets | players
7678 | Reed Sheppard | HOU | Houston Rockets | players
7454 | Tari Eason | HOU | Houston Rockets | players
7615 | Aaron Nesmith | IND | Indiana Pacers | players
7613 | Andrew Nembhard | IND | Indiana Pacers | players
7582 | Bennedict Mathurin | IND | Indiana Pacers | players
7677 | Ben Sheppard | IND | Indiana Pacers | players
7578 | Cody Martin | IND | Indiana Pacers | players
7701 | Ethan Thompson | IND | Indiana Pacers | players
7581 | Garrison Mathews | IND | Indiana Pacers | players
7515 | Isaiah Jackson | IND | Indiana Pacers | players
7752 | James Wiseman | IND | Indiana Pacers | players
7721 | Jarace Walker | IND | Indiana Pacers | players
7506 | Jay Huff | IND | Indiana Pacers | players
7469 | Johnny Furphy | IND | Indiana Pacers | players
7539 | Kam Jones | IND | Indiana Pacers | players
7587 | Mac McClung | IND | Indiana Pacers | players
7637 | Micah Potter | IND | Indiana Pacers | players
7707 | Obi Toppin | IND | Indiana Pacers | players
7516 | Quenton Jackson | IND | Indiana Pacers | players
7627 | Taelon Peter | IND | Indiana Pacers | players
7397 | Bogdan Bogdanović | LAC | LA Clippers | players
7417 | Cam Christie | LAC | LA Clippers | players
7695 | Jahmyl Telfort | LAC | LA Clippers | players
7596 | Jordan Miller | LAC | LA Clippers | players
7404 | Kobe Brown | LAC | LA Clippers | players
7662 | Kobe Sanders | LAC | LA Clippers | players
7383 | Patrick Baldwin Jr. | LAC | LA Clippers | players
7728 | TyTy Washington Jr. | LAC | LA Clippers | players
7554 | Yanic Konan Niederhäuser | LAC | LA Clippers | players
7697 | Adou Thiero | LAL | Los Angeles Lakers | players
7647 | Austin Reaves | LAL | Los Angeles Lakers | players
7519 | Bronny James | LAL | Los Angeles Lakers | players
7574 | Chris Mañon | LAL | Los Angeles Lakers | players
7550 | Dalton Knecht | LAL | Los Angeles Lakers | players
7704 | Drew Timme | LAL | Los Angeles Lakers | players
7715 | Gabe Vincent | LAL | Los Angeles Lakers | players
7561 | Jake LaRavia | LAL | Los Angeles Lakers | players
7496 | Jaxson Hayes | LAL | Los Angeles Lakers | players
7406 | Kobe Bufkin | LAL | Los Angeles Lakers | players
7449 | Luka Dončić | LAL | Los Angeles Lakers | players,transfer
7685 | Nick Smith Jr. | LAL | Los Angeles Lakers | players
7488 | Rui Hachimura | LAL | Los Angeles Lakers | players
7421 | Brandon Clarke | MEM | Memphis Grizzlies | players
7688 | Cam Spencer | MEM | Memphis Grizzlies | players
7433 | Cedric Coward | MEM | Memphis Grizzlies | players
7391 | Charles Bassey | MEM | Memphis Grizzlies | players
7514 | GG Jackson II | MEM | Memphis Grizzlies | players
7580 | Jahmai Mashack | MEM | Memphis Grizzlies | players
7607 | Ja Morant | MEM | Memphis Grizzlies | players
7681 | Javon Small | MEM | Memphis Grizzlies | players
7733 | Jaylen Wells | MEM | Memphis Grizzlies | players,transfer
7559 | Jock Landale | MEM | Memphis Grizzlies | players
7555 | John Konchar | MEM | Memphis Grizzlies | players
7641 | Olivier-Maxence Prosper | MEM | Memphis Grizzlies | players
7375 | Santi Aldama | MEM | Memphis Grizzlies | players
7524 | Ty Jerome | MEM | Memphis Grizzlies | players
7748 | Vince Williams Jr. | MEM | Memphis Grizzlies | players
7455 | Zach Edey | MEM | Memphis Grizzlies | players
7602 | Davion Mitchell | MIA | Miami Heat | players
7682 | Dru Smith | MIA | Miami Heat | players
7756 | Jahmir Young | MIA | Miami Heat | players
7521 | Jaime Jaquez Jr. | MIA | Miami Heat | players
7518 | Kasparas Jakučionis | MIA | Miami Heat | players
7726 | Kel'el Ware | MIA | Miami Heat | players
7530 | Keshad Johnson | MIA | Miami Heat | players
7471 | Myron Gardner | MIA | Miami Heat | players
7542 | Nikola Jović | MIA | Miami Heat | players
7562 | Pelle Larsson | MIA | Miami Heat | players,transfer
7468 | Simone Fontecchio | MIA | Miami Heat | players
7500 | Tyler Herro | MIA | Miami Heat | players
7479 | Vladislav Goldin | MIA | Miami Heat | players
7482 | A.J. Green | MIL | Milwaukee Bucks | players
7428 | Amir Coffey | MIL | Milwaukee Bucks | players
7513 | Andre Jackson Jr. | MIL | Milwaukee Bucks | players
7380 | Cole Anthony | MIL | Milwaukee Bucks | players
7680 | Jericho Sims | MIL | Milwaukee Bucks | players
7634 | Kevin Porter Jr. | MIL | Milwaukee Bucks | players
7670 | Mark Sears | MIL | Milwaukee Bucks | players
7612 | Pete Nance | MIL | Milwaukee Bucks | players
7658 | Ryan Rollins | MIL | Milwaukee Bucks | players
7379 | Thanasis Antetokounmpo | MIL | Milwaukee Bucks | players
7457 | Anthony Edwards | MIN | Minnesota Timberwolves | players
7509 | Bones Hyland | MIN | Minnesota Timberwolves | players
7589 | Jaden McDaniels | MIN | Minnesota Timberwolves | players
7422 | Jaylen Clark | MIN | Minnesota Timberwolves | players
7393 | Joan Beringer | MIN | Minnesota Timberwolves | players
7543 | Johnny Juzang | MIN | Minnesota Timberwolves | players
7597 | Leonard Miller | MIN | Minnesota Timberwolves | players
7650 | Naz Reid | MIN | Minnesota Timberwolves | players
7448 | Rob Dillingham | MIN | Minnesota Timberwolves | players
7673 | Terrence Shannon Jr. | MIN | Minnesota Timberwolves | players
7590 | Bryce McGowens | NOP | New Orleans Pelicans | players
7642 | Derik Queen | NOP | New Orleans Pelicans | players
7537 | Herbert Jones | NOP | New Orleans Pelicans | players
7446 | Hunter Dickinson | NOP | New Orleans Pelicans | players
7463 | Jeremiah Fears | NOP | New Orleans Pelicans | players
7495 | Jordan Hawkins | NOP | New Orleans Pelicans | players
7632 | Jordan Poole | NOP | New Orleans Pelicans | players
7378 | Jose Alvarado | NOP | New Orleans Pelicans | players
7583 | Karlo Matković | NOP | New Orleans Pelicans | players
7624 | Micah Peavy | NOP | New Orleans Pelicans | players
7394 | Saddiq Bey | NOP | New Orleans Pelicans | players
7377 | Trey Alexander | NOP | New Orleans Pelicans | players
7608 | Trey Murphy III | NOP | New Orleans Pelicans | players
7600 | Yves Missi | NOP | New Orleans Pelicans | players
7749 | Zion Williamson | NOP | New Orleans Pelicans | players
7507 | Ariel Hukporti | NYK | New York Knicks | players
7536 | Dillon Jones | NYK | New York Knicks | players
7588 | Kevin McCullar Jr. | NYK | New York Knicks | players
7585 | Miles McBride | NYK | New York Knicks | players
7444 | Mohamed Diawara | NYK | New York Knicks | players
7437 | Pacome Dadiet | NYK | New York Knicks | players
7462 | Tosan Evbuomwan | NYK | New York Knicks | players
7522 | Trey Jemison | NYK | New York Knicks | players
7552 | Tyler Kolek | NYK | New York Knicks | players
7738 | Aaron Wiggins | OKC | Oklahoma City Thunder | players
7601 | Ajay Mitchell | OKC | Oklahoma City Thunder | players
7411 | Branden Carlson | OKC | Oklahoma City Thunder | players
7389 | Brooks Barnhizer | OKC | Oklahoma City Thunder | players
7722 | Cason Wallace | OKC | Oklahoma City Thunder | players
7503 | Chet Holmgren | OKC | Oklahoma City Thunder | players
7755 | Chris Youngblood | OKC | Oklahoma City Thunder | players
7525 | Isaiah Joe | OKC | Oklahoma City Thunder | players
7743 | Jalen Williams | OKC | Oklahoma City Thunder | players
7744 | Jaylin Williams | OKC | Oklahoma City Thunder | players
7450 | Luguentz Dort | OKC | Oklahoma City Thunder | players
7447 | Ousmane Dieng | OKC | Oklahoma City Thunder | players
7396 | Anthony Black | ORL | Orlando Magic | players
7386 | Desmond Bane | ORL | Orlando Magic | players
7719 | Franz Wagner | ORL | Orlando Magic | players
7395 | Goga Bitadze | ORL | Orlando Magic | players
7693 | Jalen Suggs | ORL | Orlando Magic | players
7408 | Jamal Cain | ORL | Orlando Magic | players
7651 | Jase Richardson | ORL | Orlando Magic | players
7505 | Jett Howard | ORL | Orlando Magic | players
7625 | Noah Penda | ORL | Orlando Magic | players
7657 | Orlando Robinson | ORL | Orlando Magic | players
7385 | Paolo Banchero | ORL | Orlando Magic | players
7439 | Tristan Da Silva | ORL | Orlando Magic | players
7398 | Adem Bona | PHI | Philadelphia 76ers | players
7387 | Dominick Barlow | PHI | Philadelphia 76ers | players
7661 | Hunter Sallis | PHI | Philadelphia 76ers | players
7720 | Jabari Walker | PHI | Philadelphia 76ers | players
7586 | Jared McCain | PHI | Philadelphia 76ers | players
7403 | Johni Broome | PHI | Philadelphia 76ers | players
7458 | Justin Edwards | PHI | Philadelphia 76ers | players
7486 | Quentin Grimes | PHI | Philadelphia 76ers | players
7730 | Trendon Watford | PHI | Philadelphia 76ers | players
7584 | Tyrese Maxey | PHI | Philadelphia 76ers | players
7456 | VJ Edgecombe | PHI | Philadelphia 76ers | players
7478 | Collin Gillespie | PHX | Phoenix Suns | players
7567 | Isaiah Livers | PHX | Phoenix Suns | players
7484 | Jalen Green | PHX | Phoenix Suns | players
7399 | Jamaree Bouyea | PHX | Phoenix Suns | players
7481 | Jordan Goodwin | PHX | Phoenix Suns | players
7570 | Khaman Maluach | PHX | Phoenix Suns | players
7402 | Koby Brea | PHX | Phoenix Suns | players
7745 | Mark Williams | PHX | Phoenix Suns | players
7652 | Nick Richards | PHX | Phoenix Suns | players
7497 | Nigel Hayes-Davis | PHX | Phoenix Suns | players
7510 | Oso Ighodaro | PHX | Phoenix Suns | players
7466 | Rasheer Fleming | PHX | Phoenix Suns | players
7452 | Ryan Dunn | PHX | Phoenix Suns | players
7735 | Blake Wesley | POR | Portland Trail Blazers | players
7569 | Caleb Love | POR | Portland Trail Blazers | players
7381 | Deni Avdija | POR | Portland Trail Blazers | players
7426 | Donovan Clingan | POR | Portland Trail Blazers | players
7646 | Duop Reath | POR | Portland Trail Blazers | players
7430 | Javonte Cooke | POR | Portland Trail Blazers | players
7611 | Kris Murray | POR | Portland Trail Blazers | players
7702 | Matisse Thybulle | POR | Portland Trail Blazers | players
7659 | Rayan Rupert | POR | Portland Trail Blazers | players
7747 | Robert Williams | POR | Portland Trail Blazers | players
7675 | Shaedon Sharpe | POR | Portland Trail Blazers | players
7420 | Sidy Cissoko | POR | Portland Trail Blazers | players
7409 | Toumani Camara | POR | Portland Trail Blazers | players
7754 | Yang Hansen | POR | Portland Trail Blazers | players
7630 | Daeqwon Plowden | SAC | Sacramento Kings | players
7665 | Dario Šarić | SAC | Sacramento Kings | players
7669 | Dennis Schröder | SAC | Sacramento Kings | players
7413 | Devin Carter | SAC | Sacramento Kings | players
7410 | Dylan Cardwell | SAC | Sacramento Kings | players
7690 | Isaiah Stevens | SAC | Sacramento Kings | players
7610 | Keegan Murray | SAC | Sacramento Kings | players
7459 | Keon Ellis | SAC | Sacramento Kings | players
7645 | Maxime Raynaud | SAC | Sacramento Kings | players
7425 | Nique Clifford | SAC | Sacramento Kings | players
7373 | Precious Achiuwa | SAC | Sacramento Kings | players
7405 | Carter Bryant | SAS | San Antonio Spurs | players
7535 | David Jones García | SAS | San Antonio Spurs | players
7714 | Devin Vassell | SAS | San Antonio Spurs | players
7492 | Dylan Harper | SAS | San Antonio Spurs | players
7511 | Harrison Ingram | SAS | San Antonio Spurs | players
7687 | Jeremy Sochan | SAS | San Antonio Spurs | players
7591 | Jordan McLaughlin | SAS | San Antonio Spurs | players
7416 | Julian Champagnie | SAS | San Antonio Spurs | players
7529 | Keldon Johnson | SAS | San Antonio Spurs | players
7729 | Lindy Waters III | SAS | San Antonio Spurs | players
7598 | Riley Minix | SAS | San Antonio Spurs | players
7414 | Stephon Castle | SAS | San Antonio Spurs | players
7734 | Victor Wembanyama | SAS | San Antonio Spurs | players
7563 | A.J. Lawson | TOR | Toronto Raptors | players
7576 | Alijah Martin | TOR | Toronto Raptors | players
7499 | Chucky Hepburn | TOR | Toronto Raptors | players
7609 | Collin Murray-Boyles | TOR | Toronto Raptors | players
7445 | Gradey Dick | TOR | Toronto Raptors | players
7644 | Immanuel Quickley | TOR | Toronto Raptors | players
7725 | Ja'Kobe Walter | TOR | Toronto Raptors | players
7676 | Jamal Shead | TOR | Toronto Raptors | players
7392 | Jamison Battle | TOR | Toronto Raptors | players
7604 | Jonathan Mogbo | TOR | Toronto Raptors | players
7374 | Ochai Agbaji | TOR | Toronto Raptors | players
7390 | RJ Barrett | TOR | Toronto Raptors | players
7571 | Sandro Mamukelashvili | TOR | Toronto Raptors | players
7388 | Scottie Barnes | TOR | Toronto Raptors | players
7382 | Ace Bailey | UTA | Utah Jazz | players
7672 | Brice Sensabaugh | UTA | Utah Jazz | players
7741 | Cody Williams | UTA | Utah Jazz | players
7491 | Elijah Harkless | UTA | Utah Jazz | players
7429 | Isaiah Collier | UTA | Utah Jazz | players
7619 | Jusuf Nurkić | UTA | Utah Jazz | players
7474 | Keyonte George | UTA | Utah Jazz | players
7464 | Kyle Filipowski | UTA | Utah Jazz | players
7710 | Oscar Tshiebwe | UTA | Utah Jazz | players
7498 | Taylor Hendricks | UTA | Utah Jazz | players
7547 | Walker Kessler | UTA | Utah Jazz | players
7424 | Walter Clayton | UTA | Utah Jazz | players
7526 | AJ Johnson | WAS | Washington Wizards | players
7666 | Alex Sarr | WAS | Washington Wizards | players
7477 | Anthony Gill | WAS | Washington Wizards | players
7432 | Bilal Coulibaly | WAS | Washington Wizards | players
7412 | Bub Carrington | WAS | Washington Wizards | players
7737 | Cam Whitmore | WAS | Washington Wizards | players
7731 | Jamir Watkins | WAS | Washington Wizards | players
7415 | Justin Champagnie | WAS | Washington Wizards | players
7475 | Kyshawn George | WAS | Washington Wizards | players
7400 | Malaki Branham | WAS | Washington Wizards | players
7431 | Sharife Cooper | WAS | Washington Wizards | players
7558 | Skal Labissière | WAS | Washington Wizards | players
7531 | Tre Johnson | WAS | Washington Wizards | players
7717 | Tristan Vukcevic | WAS | Washington Wizards | players
7654 | Will Riley | WAS | Washington Wizards | players
