Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Jaylen Adams,2019,2021,['Guard'],72,225.0,"May 4, 1996",['St. Bonaventure'],False,False,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0
Jordan Adams,2015,2016,['Guard'],77,209.0,"July 8, 1994",['UCLA'],False,False,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
Michael Adams,1986,1996,['Guard'],70,162.0,"January 19, 1963",['Boston College'],False,False,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
Steven Adams,2014,2025,['Center'],83,265.0,"July 20, 1993",['Pitt'],False,True,764,8.8,8.0,1.5,58.6,5.9,53.3,58.6,17.1,61.6
Rafael Addison,1987,1997,"['Forward', 'Guard']",79,215.0,"July 22, 1964",['Syracuse'],False,False,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
Bam Adebayo,2018,2025,"['Center', 'Forward']",81,255.0,"July 18, 1997",['Kentucky'],False,True,567,15.7,8.9,3.6,53.7,31.4,75.6,54.5,19.8,57.6
Deng Adel,2019,2019,['Forward'],79,200.0,"February 1, 1997",['Louisville'],False,False,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
Rick Adelman,1969,1975,['Guard'],73,175.0,"June 16, 1946",['Loyola Marymount'],True,False,462,7.7,2.4,3.5,41.5,,71.3,,11.3,10.0
Jeff Adrien,2011,2015,['Forward'],79,245.0,"February 10, 1986",['UConn'],False,False,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4
Arron Afflalo,2008,2018,"['Guard', 'Forward']",77,210.0,"October 15, 1985",['UCLA'],False,False,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5
Ochai Agbaji,2023,2025,['Guard'],77,215.0,"April 20, 2000",['Kansas'],False,True,201,7.9,2.9,1.2,45.0,35.3,73.4,54.0,9.8,4.5
Maurice Ager,2007,2011,['Guard'],77,202.0,"February 9, 1984",['Michigan State'],False,False,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9
Mark Aguirre,1982,1994,"['Forward', 'Guard']",78,232.0,"December 10, 1959",['DePaul'],False,False,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
Blake Ahearn,2008,2012,['Guard'],74,190.0,"May 27, 1984",['Missouri State'],False,False,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2
Danny Ainge,1982,1995,['Guard'],77,185.0,"March 17, 1959",['BYU'],False,False,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
Matt Aitch,1968,1968,['Forward'],79,230.0,"September 21, 1944","['Moberly Area Community College', ' Michigan State']",False,False,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,12.1,0.5
Alexis Ajinça,2009,2017,"['Center', 'Forward']",86,248.0,"May 6, 1988",,False,False,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
Henry Akin,1967,1969,"['Center', 'Forward']",82,225.0,"July 31, 1944",['Morehead State University'],False,False,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2
Josh Akognon,2013,2013,['Guard'],71,185.0,"February 10, 1986","['Washington State', ' Cal State Fullerton']",False,False,3,1.7,0.3,0.3,50.0,50.0,,62.5,15.3,0.0
DeVaughn Akoon-Purcell,2019,2019,['Guard'],78,200.0,"June 5, 1993",['Illinois State'],False,False,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
Solomon Alabi,2011,2012,['Center'],85,251.0,"March 21, 1988",['Florida State'],False,False,26,1.5,2.3,0.2,31.4,,70.0,31.4,10.3,0.0
Mark Alarie,1987,1991,['Forward'],80,217.0,"December 11, 1963",['Duke'],False,False,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4
Gary Alcorn,1960,1961,['Center'],81,225.0,"October 8, 1936",['Fresno State'],False,False,78,3.3,4.2,0.3,29.3,,59.8,,6.5,-1.3
Santi Aldama,2022,2025,['Forward'],83,224.0,"January 10, 2001",['Loyola (MD)'],False,True,235,9.8,5.2,1.9,45.9,34.5,69.2,54.6,14.3,12.2
Furkan Aldemir,2015,2015,"['Forward', 'Center']",82,240.0,"August 9, 1991",,False,False,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4
Cole Aldrich,2011,2018,['Center'],83,250.0,"October 31, 1988",['Kansas'],False,False,339,3.1,3.3,0.5,52.7,,73.8,52.7,16.6,9.6
LaMarcus Aldridge,2007,2022,"['Forward', 'Center']",83,250.0,"July 19, 1985",['Texas'],False,False,1076,19.1,8.1,1.9,49.3,32.0,81.3,49.9,20.7,115.6
Chuck Aleksinas,1985,1985,['Center'],83,260.0,"February 26, 1959","['Kentucky', ' UConn']",False,False,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4
Cliff Alexander,2016,2016,['Forward'],80,245.0,"November 16, 1995",['Kansas'],False,False,8,1.3,0.8,0.0,50.0,,,50.0,11.6,0.0
Cory Alexander,1996,2005,['Guard'],73,185.0,"June 22, 1973",['Virginia'],False,False,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0
Courtney Alexander,2001,2003,['Guard'],77,205.0,"April 27, 1977","['Virginia', ' Fresno State']",False,False,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1
Gary Alexander,1994,1994,['Forward'],79,240.0,"November 1, 1969",['South Florida'],False,False,11,1.7,1.4,0.2,57.1,,33.3,57.1,8.6,0.0
Joe Alexander,2009,2010,['Forward'],80,230.0,"December 26, 1986",['West Virginia'],False,False,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5
Kyle Alexander,2020,2020,['Forward'],83,220.0,"October 21, 1996",['Tennessee'],False,False,2,1.0,1.5,0.0,50.0,,,50.0,4.7,0.0
Trey Alexander,2025,2025,['Guard'],76,185.0,"May 2, 2003",['Creighton'],False,True,24,1.3,0.5,0.5,31.7,17.6,75.0,35.4,2.9,-0.2
Ty-Shon Alexander,2021,2021,['Guard'],75,195.0,"July 16, 1998",['Creighton'],False,True,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0
Victor Alexander,1992,2002,"['Center', 'Forward']",81,265.0,"August 31, 1969",['Iowa State'],False,False,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
Nickeil Alexander-Walker,2020,2025,['Guard'],77,205.0,"September 2, 1998",['Virginia Tech'],False,True,381,8.6,2.5,2.3,41.4,36.0,74.3,51.2,11.2,10.2
Steve Alford,1988,1991,['Guard'],74,183.0,"November 23, 1964",['Indiana'],False,False,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2
Rawle Alkins,2019,2019,['Guard'],77,225.0,"October 29, 1997",['Arizona'],False,True,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
Bill Allen,1968,1968,"['Center', 'Forward']",80,205.0,,['New Mexico State'],False,False,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6
Bob Allen,1969,1969,['Forward'],81,205.0,"July 17, 1946",['Marshall'],False,False,27,1.8,2.1,0.4,32.6,,55.6,,6.8,0.1
Grayson Allen,2019,2025,['Guard'],76,198.0,"October 8, 1995",['Duke'],False,True,403,10.5,3.0,2.0,45.1,41.4,85.7,58.7,12.8,22.6
Jarrett Allen,2018,2025,"['Center', 'Forward']",83,243.0,"April 21, 1998",['Texas'],False,True,568,12.8,9.2,1.7,64.1,16.4,71.2,64.3,20.6,66.7
Jerome Allen,1996,1997,['Guard'],76,184.0,"January 28, 1973",['Penn'],False,False,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2
Kadeem Allen,2018,2020,['Guard'],73,200.0,"January 15, 1993",['Arizona'],False,False,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0
Lavoy Allen,2012,2017,"['Forward', 'Center']",81,260.0,"February 4, 1989",['Temple'],False,False,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8
Lucius Allen,1970,1979,['Guard'],74,175.0,"September 26, 1947",['UCLA'],False,False,702,13.4,3.1,4.5,46.3,,76.0,,15.5,42.0
Malik Allen,2002,2011,"['Forward', 'Center']",82,255.0,"June 27, 1978",['Villanova'],False,False,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
Randy Allen,1989,1990,['Forward'],80,220.0,"January 26, 1965",['Florida State'],False,False,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
Ray Allen,1997,2014,['Guard'],77,205.0,"July 20, 1975",['UConn'],True,False,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1
Timmy Allen,2024,2024,['Forward'],78,210.0,"January 9, 2000","['Utah', ' Texas']",False,True,5,2.6,3.4,1.0,26.1,0.0,50.0,26.1,0.8,-0.1
Tony Allen,2005,2018,"['Guard', 'Forward']",76,213.0,"January 11, 1982","['Butler County Community College', ' Oklahoma State']",False,False,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
Willie Allen,1972,1972,['Forward'],78,230.0,"February 8, 1949",['Miami (FL)'],False,False,7,1.9,2.0,0.6,30.8,,83.3,30.8,5.7,0.0
Odis Allison,1972,1972,['Forward'],78,195.0,"October 2, 1949",['UNLV'],False,False,36,1.9,1.3,0.3,21.8,,54.1,,4.7,-0.6
Lance Allred,2008,2008,['Center'],83,250.0,"February 2, 1981","['Utah', ' Weber State']",False,False,3,1.0,0.3,0.0,25.0,,50.0,25.0,-1.0,0.0
Darrell Allums,1981,1981,['Forward'],81,220.0,"September 12, 1958",['UCLA'],False,False,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3
Morris Almond,2008,2012,['Guard'],78,225.0,"February 2, 1985",['Rice University'],False,False,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0
Derrick Alston,1995,1997,['Forward'],83,225.0,"August 20, 1972",['Duquesne'],False,False,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6
Rafer Alston,2000,2010,['Guard'],74,171.0,"July 24, 1976",['Fresno State'],False,False,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Peter Aluma,1999,1999,['Center'],82,260.0,"April 23, 1973",['Liberty'],False,False,2,1.0,1.0,0.0,50.0,,,50.0,3.1,0.0
Jose Alvarado,2022,2025,['Guard'],72,179.0,"April 12, 1998",['Georgia Tech'],False,True,227,8.2,2.2,3.1,41.1,34.8,75.7,50.3,13.3,7.2
John Amaechi,1996,2003,"['Center', 'Forward']",82,270.0,"November 26, 1970","['Vanderbilt', ' Penn State']",False,False,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
Ashraf Amaya,1996,1997,['Forward'],80,230.0,"November 23, 1971",['Southern Illinois'],False,False,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9
Al-Farouq Aminu,2011,2021,['Forward'],80,220.0,"September 21, 1990",['Wake Forest'],False,False,711,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6
Lou Amundson,2007,2016,"['Forward', 'Center']",81,220.0,"December 7, 1982",['UNLV'],False,False,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9
Bob Anderegg,1960,1960,"['Forward', 'Guard']",75,200.0,"August 24, 1937",['Michigan State'],False,False,33,4.0,2.1,0.9,38.5,,54.8,,9.3,0.0
Chris Andersen,2002,2017,"['Center', 'Forward']",82,245.0,"July 7, 1978",['Blinn College'],False,False,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7
David Andersen,2010,2011,['Center'],83,245.0,"June 23, 1980",,False,False,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5
Alan Anderson,2006,2017,"['Guard', 'Forward']",78,220.0,"October 16, 1982",['Michigan State'],False,False,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4
Andy Anderson,1968,1970,['Guard'],74,184.0,"July 6, 1945",['Canisius'],False,False,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5
Antonio Anderson,2010,2010,['Guard'],78,215.0,"June 5, 1985",['Memphis'],False,False,1,2.0,1.0,0.0,33.3,,,33.3,-1.7,0.0
Cliff Anderson,1968,1971,"['Guard', 'Forward']",74,200.0,"September 7, 1944","[""Saint Joseph's""]",False,False,84,3.0,1.3,0.9,35.4,,58.5,35.4,10.6,0.3
Dan Anderson,1968,1969,['Center'],82,230.0,"February 15, 1943",['Augsburg College'],False,False,140,12.2,9.4,1.1,48.1,,72.7,48.1,17.5,10.9
Dan Anderson,1975,1976,['Guard'],74,185.0,"January 1, 1951",['USC'],False,False,95,3.7,1.0,1.7,47.2,,84.6,,12.3,1.6
Derek Anderson,1998,2008,['Guard'],77,194.0,"July 18, 1974","['Ohio State', ' Kentucky']",False,False,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
Dwight Anderson,1983,1983,['Guard'],75,185.0,"December 28, 1960","['Kentucky', ' USC']",False,False,5,4.2,0.4,0.6,50.0,,70.0,50.0,10.6,0.0
Eric Anderson,1993,1994,['Forward'],81,220.0,"May 26, 1970",['Indiana'],False,False,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2
Greg Anderson,1988,1998,"['Forward', 'Center']",82,230.0,"June 22, 1964",['Houston'],False,False,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7
J.J. Anderson,1983,1985,['Forward'],80,195.0,"September 23, 1960",['Bradley'],False,False,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
James Anderson,2011,2016,"['Guard', 'Forward']",78,213.0,"March 25, 1989",['Oklahoma State'],False,False,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3
Jerome Anderson,1976,1977,['Guard'],77,195.0,"October 9, 1953",['West Virginia'],False,False,49,2.6,0.5,0.3,49.0,,69.4,,11.4,0.4
Justin Anderson,2016,2022,['Guard'],78,230.0,"November 19, 1993",['Virginia'],False,True,242,5.3,2.6,0.8,41.0,29.2,77.5,48.2,12.4,4.9
Kenny Anderson,1992,2005,['Guard'],73,168.0,"October 9, 1970",['Georgia Tech'],False,False,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5
Kim Anderson,1979,1979,['Forward'],79,200.0,"May 12, 1955",['Missouri'],False,False,21,3.0,2.1,0.7,31.2,,53.6,,3.0,-0.4
Kyle Anderson,2015,2025,"['Forward', 'Guard']",81,230.0,"September 20, 1993",['UCLA'],False,True,714,6.8,4.3,2.8,47.8,34.0,71.6,51.4,14.2,39.4
Michael Anderson,1989,1989,['Guard'],71,184.0,"March 23, 1966",['Drexel'],False,False,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2
Nick Anderson,1990,2002,"['Forward', 'Guard']",78,205.0,"January 20, 1968",['Illinois'],False,False,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3
Richard Anderson,1983,1990,"['Forward', 'Center']",82,240.0,"November 19, 1960",['UC Santa Barbara'],False,False,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6
Ron Anderson,1985,1994,"['Forward', 'Guard']",79,215.0,"October 15, 1958",['Fresno State'],False,False,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2
Ryan Anderson,2009,2020,['Forward'],81,240.0,"May 6, 1988",['California'],False,False,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7
Shandon Anderson,1997,2006,"['Forward', 'Guard']",78,208.0,"December 31, 1973",['Georgia'],False,False,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6
Willie Anderson,1989,1997,"['Guard', 'Forward']",79,190.0,"January 8, 1967",['Georgia'],False,False,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9
Wally Anderzunas,1970,1970,"['Center', 'Forward']",79,220.0,"January 11, 1946",['Creighton'],False,False,44,3.6,1.9,0.2,39.2,,63.0,,8.8,-0.2
Martynas Andriuškevičius,2006,2006,['Center'],86,240.0,"March 12, 1986",,False,False,6,0.0,0.7,0.0,0.0,,,0.0,15.5,0.0
Don Anielak,1955,1955,['Forward'],79,190.0,"November 1, 1930",['Missouri State'],False,False,1,3.0,2.0,0.0,0.0,,75.0,,1.8,-0.1
Ike Anigbogu,2018,2019,"['Forward', 'Center']",82,250.0,"October 17, 1998",['UCLA'],False,False,14,0.9,0.9,0.1,33.3,,83.3,33.3,17.0,0.0
Michael Ansley,1990,1992,['Forward'],79,225.0,"February 8, 1967",['Alabama'],False,False,149,6.9,4.2,0.4,51.3,,72.2,51.3,17.0,6.4
Chris Anstey,1998,2000,['Center'],84,249.0,"January 1, 1975",,False,False,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8
Giannis Antetokounmpo,2014,2025,"['Forward', 'Guard']",83,242.0,"December 6, 1994",,False,True,859,23.9,9.9,5.0,55.1,28.4,69.3,57.0,25.8,120.8
Kostas Antetokounmpo,2019,2021,['Forward'],82,200.0,"November 20, 1997",['Dayton'],False,True,22,1.0,1.0,0.1,37.5,,47.4,37.5,3.6,-0.2
Thanasis Antetokounmpo,2016,2024,['Forward'],79,219.0,"July 18, 1992",,False,True,198,2.4,1.6,0.6,50.9,14.3,52.9,52.0,10.3,1.9
Carmelo Anthony,2004,2022,['Forward'],79,238.0,"May 29, 1984",['Syracuse'],True,False,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,19.5,108.5
Cole Anthony,2021,2025,['Guard'],74,185.0,"May 15, 2000",['UNC'],False,True,320,12.5,4.3,3.8,41.9,34.5,84.7,48.3,14.1,11.0
Greg Anthony,1992,2002,['Guard'],72,176.0,"November 15, 1967","['University of Portland', ' UNLV']",False,False,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9
Joel Anthony,2008,2017,['Center'],81,245.0,"August 9, 1982",['UNLV'],False,False,490,2.2,2.8,0.2,51.3,,66.2,51.3,9.7,15.3
Pero Antić,2014,2015,"['Center', 'Forward']",83,260.0,"July 29, 1982",,False,False,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0
OG Anunoby,2018,2025,['Forward'],79,232.0,"July 17, 1997",['Indiana'],False,True,492,12.9,4.4,1.7,47.4,37.5,76.1,56.0,13.5,31.4
Keith Appling,2016,2016,['Guard'],73,185.0,"February 13, 1992",['Michigan State'],False,False,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1
Rafael Araújo,2005,2007,['Center'],83,280.0,"August 12, 1980",['BYU'],False,False,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4
Stacey Arceneaux,1962,1962,['Forward'],76,210.0,"February 17, 1936",['Iowa State'],False,False,7,7.1,4.6,0.6,39.3,,46.2,,10.5,-0.1
Robert Archibald,2003,2004,['Forward'],83,250.0,"March 29, 1980",['Illinois'],False,False,44,1.2,1.6,0.4,28.3,,42.9,28.3,4.9,0.0
Tiny Archibald,1971,1984,['Guard'],73,150.0,"September 2, 1948","['Arizona Western College', ' Texas-El Paso']",True,False,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
Ryan Arcidiacono,2018,2024,['Guard'],75,195.0,"March 26, 1994",['Villanova'],False,True,257,4.0,1.8,1.9,42.1,36.9,80.7,52.7,9.8,6.0
Jim Ard,1971,1978,"['Forward', 'Center']",80,215.0,"September 19, 1948",['Cincinnati'],False,False,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4.0
Gilbert Arenas,2002,2012,['Guard'],76,191.0,"January 6, 1982",['Arizona'],False,False,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3
Trevor Ariza,2005,2022,['Forward'],80,215.0,"June 30, 1985",['UCLA'],False,False,1118,10.4,4.8,2.1,42.2,35.1,73.1,50.4,13.1,64.3
Paul Arizin,1951,1962,"['Forward', 'Guard']",76,190.0,"April 9, 1928",['Villanova'],True,False,713,22.8,8.6,2.3,42.1,,81.0,,19.8,108.8
Joe Arlauckas,1988,1988,['Forward'],81,230.0,"July 20, 1965",['Niagara University'],False,False,9,3.8,1.4,0.9,32.6,,75.0,32.6,7.9,-0.1
B.J. Armstrong,1990,2000,['Guard'],74,175.0,"September 9, 1967",['Iowa'],False,False,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0
Bob Armstrong,1957,1957,"['Center', 'Forward']",80,220.0,"June 17, 1933",['Michigan State'],False,False,19,1.5,2.1,0.2,29.7,,50.0,,7.8,-0.1
Brandon Armstrong,2002,2004,['Guard'],77,188.0,"June 16, 1980",['Pepperdine'],False,False,108,2.2,0.6,0.2,35.2,33.3,60.0,39.5,4.9,-0.6
Curly Armstrong,1949,1951,"['Guard', 'Forward']",71,170.0,"November 1, 1918",['Indiana'],False,False,153,6.8,2.3,2.3,29.5,,69.2,,,7.1
Darrell Armstrong,1995,2008,['Guard'],72,170.0,"June 22, 1968",['Fayetteville State University'],False,False,840,9.2,2.7,4.0,40.9,33.4,87.1,48.0,16.3,49.8
Hilton Armstrong,2007,2014,"['Forward', 'Center']",83,235.0,"November 11, 1984",['UConn'],False,False,292,3.0,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9
Tate Armstrong,1978,1979,['Guard'],75,175.0,"October 5, 1955",['Duke'],False,False,92,3.8,1.0,1.1,45.4,,80.0,,9.9,0.3
Jesse Arnelle,1956,1956,['Forward'],77,220.0,"December 30, 1933",['Penn State'],False,False,31,4.7,5.5,0.6,31.7,,62.3,,12.6,0.0
Jay Arnette,1964,1966,['Guard'],74,175.0,"December 19, 1938",['Texas'],False,False,114,3.7,1.0,1.2,36.5,,76.0,,7.7,0.1
Bob Arnzen,1970,1974,['Forward'],77,205.0,"November 3, 1947",['Notre Dame'],False,False,111,4.0,2.0,0.3,46.5,20.0,80.0,46.6,13.6,1.4
Carlos Arroyo,2002,2011,['Guard'],74,202.0,"July 30, 1979",['Florida International University'],False,False,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1
Darrell Arthur,2009,2018,['Forward'],81,235.0,"March 25, 1988",['Kansas'],False,False,503,6.5,3.5,0.8,44.4,35.2,76.5,47.0,12.2,12.3
John Arthurs,1970,1970,['Guard'],76,185.0,"August 15, 1947",['Tulane'],False,False,11,3.2,1.3,1.5,34.3,,73.3,,11.3,0.0
Jamel Artis,2018,2018,"['Guard', 'Forward']",79,213.0,"January 12, 1993",['Pitt'],False,False,15,5.1,2.5,1.2,39.2,27.6,58.3,44.3,6.9,0.0
Ömer Aşık,2011,2018,['Center'],84,255.0,"July 4, 1986",,False,False,471,5.3,7.1,0.6,52.8,0.0,55.1,52.8,13.4,20.9
Vincent Askew,1988,1998,"['Guard', 'Forward']",78,210.0,"February 28, 1966",['Memphis'],False,False,467,7.1,2.5,2.2,47.9,30.0,75.4,49.4,12.6,22.1
Keith Askins,1991,1999,"['Guard', 'Forward']",79,197.0,"December 15, 1967",['Alabama'],False,False,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5
Don Asmonga,1954,1954,['Guard'],74,185.0,"February 15, 1928",['Alliance College'],False,False,7,0.7,0.1,0.7,13.3,,100.0,,-7.6,-0.3
Dick Atha,1956,1958,['Guard'],74,190.0,"September 21, 1931",['Indiana State University'],False,False,43,3.2,1.5,1.2,39.3,,79.5,,10.5,0.6
Chucky Atkins,2000,2010,['Guard'],71,160.0,"August 14, 1974",['South Florida'],False,False,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9
Al Attles,1961,1971,['Guard'],72,175.0,"November 7, 1936",['North Carolina A&T'],True,False,711,8.9,3.5,3.5,45.1,,63.2,,11.3,36.5
Chet Aubuchon,1947,1947,['Guard'],70,137.0,"May 18, 1916",['Michigan State'],False,False,30,2.2,,0.7,25.3,,54.3,,,1.2
